acceleration:x,y,z,Orientation:yaw,pitch,roll,PredGravityX,PredGravityY,PredGravityZ
0.523761, 0.532892, 9.91523, -0.705211, -0.0531519, -0.0551869, 0.520643, 0.539796, 9.77126
0.518222, 0.566123, 9.89053, -0.697943, -0.0509407, -0.0542287, 0.499004, 0.530494, 9.7729
0.523012, 0.555944, 9.89697, -0.698299, -0.0509987, -0.0542765, 0.49957, 0.530955, 9.77285
0.523761, 0.500709, 9.89787, -0.698396, -0.0510272, -0.0542242, 0.49985, 0.530445, 9.77286
0.523761, 0.523461, 9.9311, -0.698493, -0.0510529, -0.0541855, 0.5001, 0.530068, 9.77287
0.523761, 0.523461, 9.9311, -0.698493, -0.0510529, -0.0541855, 0.5001, 0.530068, 9.77287
0.523761, 0.523162, 9.93559, -0.698566, -0.0510999, -0.0541369, 0.500561, 0.529589, 9.77287
0.523761, 0.531994, 9.96598, -0.698566, -0.0510999, -0.0541369, 0.500561, 0.529589, 9.77287
0.494122, 0.53873, 9.96388, -0.698471, -0.051098, -0.0541322, 0.500458, 0.529621, 9.77287
0.519719, 0.534089, 9.92496, -0.698471, -0.051098, -0.0541322, 0.500545, 0.529549, 9.77287
0.519719, 0.534089, 9.92496, -0.698471, -0.051098, -0.0541322, 0.500545, 0.529549, 9.77287
0.519719, 0.534089, 9.92496, -0.698269, -0.0511249, -0.0541277, 0.500805, 0.529499, 9.77286
0.523312, 0.533491, 9.90161, -0.698068, -0.0511352, -0.0541225, 0.500906, 0.529446, 9.77286
0.499511, 0.533491, 9.92257, -0.698068, -0.0511352, -0.0541225, 0.500906, 0.529446, 9.77286
0.487386, 0.553998, 9.93439, -0.697833, -0.0510977, -0.0541301, 0.500539, 0.529526, 9.77287
0.491278, 0.569266, 9.93604, -0.697603, -0.0510759, -0.054183, 0.500324, 0.530041, 9.77286
0.491278, 0.569266, 9.93604, -0.697603, -0.0510759, -0.054183, 0.500324, 0.530041, 9.77286
0.491278, 0.569266, 9.93604, -0.697466, -0.0510392, -0.0542351, 0.499966, 0.530553, 9.77285
0.486339, 0.571362, 9.93619, -0.69733, -0.0510031, -0.0542711, 0.499614, 0.530903, 9.77285
0.48559, 0.547561, 9.93619, -0.69733, -0.0510031, -0.0542711, 0.499614, 0.530903, 9.77285
0.48559, 0.547561, 9.93619, -0.69733, -0.0510031, -0.0542711, 0.499614, 0.530903, 9.77285
0.48559, 0.547561, 9.93619, -0.697103, -0.0509677, -0.0542611, 0.499269, 0.530811, 9.77287
0.48559, 0.535287, 9.93619, -0.697103, -0.0509677, -0.0542611, 0.499269, 0.530811, 9.77287
0.48559, 0.535287, 9.93619, -0.696877, -0.0509017, -0.0542505, 0.498621, 0.530708, 9.77291
0.470771, 0.53364, 9.93963, -0.696634, -0.0508544, -0.0542425, 0.498157, 0.530631, 9.77294
0.480201, 0.533491, 9.907, -0.696634, -0.0508544, -0.0542425, 0.498157, 0.530631, 9.77294
0.51448, 0.518372, 9.89368, -0.696392, -0.0508556, -0.0542371, 0.498171, 0.530575, 9.77294
0.51448, 0.518372, 9.89368, -0.696392, -0.0508556, -0.0542371, 0.498171, 0.530575, 9.77294
0.51448, 0.518372, 9.89368, -0.696392, -0.0508556, -0.0542371, 0.498171, 0.530575, 9.77294
0.51448, 0.518372, 9.89368, -0.696274, -0.0508864, -0.0541703, 0.498471, 0.529922, 9.77296
0.507594, 0.498314, 9.91239, -0.696157, -0.0508531, -0.054086, 0.498145, 0.529101, 9.77302
0.488434, 0.47137, 9.93304, -0.696157, -0.0508531, -0.054086, 0.498145, 0.529101, 9.77302
0.476759, 0.491877, 9.9061, -0.696026, -0.0508066, -0.0540049, 0.497691, 0.528306, 9.77309
0.484393, 0.50969, 9.89907, -0.695898, -0.0507775, -0.0539417, 0.497404, 0.527691, 9.77313
0.484393, 0.50969, 9.89907, -0.695848, -0.050748, -0.0539394, 0.497119, 0.527674, 9.77315
0.485291, 0.530197, 9.90371, -0.695848, -0.050748, -0.0539394, 0.497119, 0.527674, 9.77315
0.485441, 0.518222, 9.91373, -0.695796, -0.0507198, -0.0539075, 0.496843, 0.527362, 9.77318
0.485441, 0.518222, 9.91373, -0.69585, -0.0506889, -0.0539033, 0.496539, 0.52732, 9.7732
0.485441, 0.531395, 9.93319, -0.69585, -0.0506889, -0.0539033, 0.496539, 0.52732, 9.7732
0.485441, 0.566272, 9.93589, -0.695905, -0.0506584, -0.0539447, 0.49624, 0.527721, 9.77319
0.485441, 0.566272, 9.93589, -0.695905, -0.0506584, -0.0539447, 0.49624, 0.527721, 9.77319
0.515229, 0.571062, 9.92122, -0.695803, -0.0506587, -0.0540006, 0.496243, 0.528268, 9.77316
0.522713, 0.53858, 9.90116, -0.6957, -0.0506924, -0.0540132, 0.496572, 0.528392, 9.77314
0.522713, 0.53858, 9.90116, -0.6957, -0.0506924, -0.0540132, 0.496572, 0.528392, 9.77314
0.522713, 0.53858, 9.90116, -0.695664, -0.0507257, -0.053965, 0.496899, 0.527923, 9.77315
0.508642, 0.501008, 9.89832, -0.695664, -0.0507257, -0.053965, 0.496899, 0.527923, 9.77315
0.488734, 0.525707, 9.90131, -0.695629, -0.0506971, -0.0539321, 0.496617, 0.527599, 9.77318
0.488734, 0.525707, 9.90131, -0.695629, -0.0506971, -0.0539321, 0.496617, 0.527599, 9.77318
0.48589, 0.547412, 9.89847, -0.695613, -0.0506696, -0.0539308, 0.496351, 0.527587, 9.77319
0.515378, 0.535287, 9.9278, -0.695597, -0.0506714, -0.0539429, 0.496368, 0.527707, 9.77319
0.515378, 0.535287, 9.9278, -0.695597, -0.0506714, -0.0539429, 0.496368, 0.527707, 9.77319
0.515378, 0.535287, 9.9278, -0.695563, -0.0507018, -0.0539381, 0.496664, 0.527657, 9.77317
0.522713, 0.53364, 9.93514, -0.697236, -0.0506227, -0.0512227, 0.49589, 0.501119, 9.77461
0.619562, 0.541723, 10.0476, -0.697236, -0.0506227, -0.0512227, 0.49589, 0.501119, 9.77461
0.619562, 0.541723, 10.0476, -0.697236, -0.0506227, -0.0512227, 0.49589, 0.501119, 9.77461
0.619562, 0.541723, 10.0476, -0.702237, -0.0499871, -0.0598527, 0.489669, 0.585471, 9.77023
0.726589, 0.506996, 10.2944, -0.708456, -0.050609, -0.0681149, 0.495754, 0.666157, 9.76476
0.597408, 0.545466, 10.1273, -0.708456, -0.050609, -0.0681149, 0.495754, 0.666157, 9.76476
0.597408, 0.545466, 10.1273, -0.709562, -0.0506865, -0.0684448, 0.496515, 0.669374, 9.7645
0.17334, 0.150437, 9.49491, -0.695949, -0.048567, -0.0657804, 0.47577, 0.643426, 9.76727
-0.482746, -0.720601, 9.83335, -0.695949, -0.048567, -0.0657804, 0.47577, 0.643426, 9.76727
-0.482746, -0.720601, 9.83335, -0.695949, -0.048567, -0.0657804, 0.47577, 0.643426, 9.76727
-0.482746, -0.720601, 9.83335, -0.695949, -0.048567, -0.0657804, 0.47577, 0.643426, 9.76727
-0.482746, -0.720601, 9.83335, -0.695949, -0.048567, -0.0657804, 0.47577, 0.643426, 9.76727
-0.482746, -0.720601, 9.83335, -0.670455, -0.0466624, -0.0697115, 0.457124, 0.681875, 9.76556
-0.678389, -0.522114, 10.5162, -0.670455, -0.0466624, -0.0697115, 0.457124, 0.681875, 9.76556
-0.0715512, 0.616268, 10.6779, -0.646386, -0.0467035, -0.0842243, 0.457527, 0.823521, 9.75461
-0.0715512, 0.616268, 10.6779, -0.628073, -0.0511039, -0.10932, 0.500601, 1.06781, 9.72878
0.580493, 0.995729, 10.7388, -0.615596, -0.0645459, -0.148996, 0.632113, 1.45173, 9.67124
1.25873, 1.58595, 10.9265, -0.615352, -0.0954085, -0.210158, 0.933587, 2.03512, 9.54079
1.58326, 3.12894, 11.1024, -0.615352, -0.0954085, -0.210158, 0.933587, 2.03512, 9.54079
1.58326, 3.12894, 11.1024, -0.615352, -0.0954085, -0.210158, 0.933587, 2.03512, 9.54079
1.58326, 3.12894, 11.1024, -0.615352, -0.0954085, -0.210158, 0.933587, 2.03512, 9.54079
1.58326, 3.12894, 11.1024, -0.631516, -0.137589, -0.295166, 1.34412, 2.82387, 9.28758
0.714913, 4.01196, 10.749, -0.631516, -0.137589, -0.295166, 1.34412, 2.82387, 9.28758
-0.128283, 3.23133, 8.96022, -0.654482, -0.189608, -0.384343, 1.84704, 3.60865, 8.92222
0.782423, 3.57277, 8.04158, -0.683703, -0.250994, -0.4617, 2.434, 4.22882, 8.49898
0.782423, 3.57277, 8.04158, -0.713529, -0.294314, -0.527641, 2.84282, 4.7221, 8.10309
2.5239, 5.95896, 9.6672, -0.733845, -0.309931, -0.557592, 2.98893, 4.93855, 7.91941
3.34973, 6.63376, 10.7318, -0.733845, -0.309931, -0.557592, 2.98893, 4.93855, 7.91941
3.34973, 6.63376, 10.7318, -0.733845, -0.309931, -0.557592, 2.98893, 4.93855, 7.91941
3.34973, 6.63376, 10.7318, -0.733845, -0.309931, -0.557592, 2.98893, 4.93855, 7.91941
3.34973, 6.63376, 10.7318, -0.733845, -0.309931, -0.557592, 2.98893, 4.93855, 7.91941
3.34973, 6.63376, 10.7318, -0.733845, -0.309931, -0.557592, 2.98893, 4.93855, 7.91941
3.34973, 6.63376, 10.7318, -0.733845, -0.309931, -0.557592, 2.98893, 4.93855, 7.91941
2.78466, 4.38408, 9.86643, -0.735587, -0.309265, -0.547415, 2.98271, 4.85873, 7.97096
2.78466, 4.38408, 9.86643, -0.727418, -0.308135, -0.514519, 2.97216, 4.59559, 8.12938
2.0666, 2.68571, 8.74526, -0.730238, -0.304587, -0.49082, 2.93901, 4.4066, 8.24525
2.7664, 3.4126, 8.11986, -0.730238, -0.304587, -0.49082, 2.93901, 4.4066, 8.24525
3.42503, 4.53497, 7.94682, -0.746702, -0.302736, -0.480942, 2.9217, 4.32745, 8.29318
3.15289, 4.68361, 7.94069, -0.77119, -0.30361, -0.475453, 2.92987, 4.2807, 8.31453
3.15289, 4.68361, 7.94069, -0.794577, -0.305599, -0.455535, 2.94847, 4.11168, 8.39289
2.50803, 3.60465, 7.93425, -0.801928, -0.310208, -0.420227, 2.99151, 3.80725, 8.52031
2.47001, 2.5962, 7.80103, -0.802711, -0.332462, -0.372792, 3.19844, 3.37388, 8.62711
2.82193, 2.94049, 7.34118, -0.802711, -0.332462, -0.372792, 3.19844, 3.37388, 8.62711
2.54067, 3.1514, 7.64745, -0.802749, -0.374433, -0.318983, 3.5843, 2.86035, 8.6609
2.67314, 3.01817, 8.95992, -0.794833, -0.409664, -0.263407, 3.90335, 2.3405, 8.67905
3.40931, 2.85471, 8.93432, -0.783649, -0.433377, -0.210154, 4.11539, 1.85539, 8.69834
3.40931, 2.85471, 8.93432, -0.783649, -0.433377, -0.210154, 4.11539, 1.85539, 8.69834
3.40931, 2.85471, 8.93432, -0.783649, -0.433377, -0.210154, 4.11539, 1.85539, 8.69834
3.73937, 2.11765, 7.68397, -0.768923, -0.466321, -0.155495, 4.40612, 1.35567, 8.64802
4.15431, 1.47548, 7.67933, -0.745256, -0.514405, -0.0996681, 4.82177, 0.848935, 8.4894
4.15431, 1.47548, 7.67933, -0.720148, -0.555817, -0.0523836, 5.17085, 0.435887, 8.31338
4.98254, 1.47324, 8.9939, -0.697559, -0.580072, 0.00243349, 5.37122, -0.0199493, 8.19693
5.2412, 0.0559836, 8.90304, -0.697559, -0.580072, 0.00243349, 5.37122, -0.0199493, 8.19693
5.2412, 0.0559836, 8.90304, -0.697559, -0.580072, 0.00243349, 5.37122, -0.0199493, 8.19693
4.55907, -1.70555, 6.90619, -0.668583, -0.610262, 0.0761385, 5.61621, -0.610884, 8.00781
4.55907, -1.70555, 6.90619, -0.649603, -0.674242, 0.126108, 6.1182, -0.962874, 7.59477
4.41701, -0.71641, 6.11404, -0.635271, -0.709052, 0.161356, 6.38092, -1.19496, 7.34138
5.92004, 1.57188, 7.34717, -0.64046, -0.7099, 0.163682, 6.38723, -1.21116, 7.33324
6.85799, 1.77501, 8.38796, -0.64046, -0.7099, 0.163682, 6.38723, -1.21116, 7.33324
6.85799, 1.77501, 8.38796, -0.64046, -0.7099, 0.163682, 6.38723, -1.21116, 7.33324
7.42276, 0.488584, 8.39574, -0.675936, -0.69808, 0.134215, 6.29893, -1.00461, 7.44004
8.42164, -1.23927, 8.74541, -0.740352, -0.677967, 0.077251, 6.14666, -0.589049, 7.60996
8.42164, -1.23927, 8.74541, -0.740352, -0.677967, 0.077251, 6.14666, -0.589049, 7.60996
8.42164, -1.23927, 8.74541, -0.740352, -0.677967, 0.077251, 6.14666, -0.589049, 7.60996
