acceleration:x,y,z,Orientation:yaw,pitch,roll,PredGravityX,PredGravityY,PredGravityZ
0.00508942, 0.37976, 10.0287, -1.2512, -0.0418975, -0.0701847, 0.410475, 0.686647, 9.76729
0.317639, 0.739762, 9.91209, -1.2934, -0.0369242, -0.073777, 0.361773, 0.721865, 9.76668
0.330213, 0.74515, 9.91493, -1.2934, -0.0369242, -0.073777, 0.361773, 0.721865, 9.76668
0.330213, 0.74515, 9.91493, -1.29344, -0.0368676, -0.0737925, 0.36122, 0.72202, 9.76669
0.33201, 0.736618, 9.93334, -1.29332, -0.0368119, -0.0737927, 0.360674, 0.722023, 9.76671
0.332159, 0.730032, 9.92077, -1.29321, -0.0367892, -0.0737963, 0.360452, 0.722059, 9.76671
0.361947, 0.749941, 9.92526, -1.29321, -0.0367892, -0.0737963, 0.360452, 0.722059, 9.76671
0.393532, 0.791255, 9.94981, -1.29298, -0.0368755, -0.0739596, 0.361297, 0.723653, 9.76656
0.406854, 0.775986, 9.94143, -1.29283, -0.036942, -0.0740048, 0.361948, 0.724091, 9.76651
0.4088, 0.763562, 9.94936, -1.29283, -0.0370063, -0.0740471, 0.36258, 0.7245, 9.76645
0.4088, 0.763562, 9.94936, -1.29278, -0.0370369, -0.0740841, 0.362878, 0.724866, 9.76642
0.39413, 0.748294, 9.9561, -1.29273, -0.0370537, -0.0740635, 0.363044, 0.724659, 9.76643
0.388891, 0.728236, 9.92736, -1.29273, -0.0370537, -0.0740635, 0.363044, 0.724659, 9.76643
0.388891, 0.728236, 9.92736, -1.29273, -0.0370537, -0.0740635, 0.363044, 0.724659, 9.76643
0.388891, 0.728236, 9.92736, -1.2926, -0.0371029, -0.0740323, 0.363527, 0.724354, 9.76643
0.400567, 0.701292, 9.90535, -1.2926, -0.0371029, -0.0740323, 0.363527, 0.724354, 9.76643
0.400567, 0.701292, 9.90535, -1.2926, -0.0371029, -0.0740323, 0.363527, 0.724354, 9.76643
0.383503, 0.736768, 9.92646, -1.29247, -0.0371507, -0.0740008, 0.363993, 0.724043, 9.76644
0.342637, 0.75967, 9.93499, -1.29262, -0.0371206, -0.0740431, 0.363701, 0.724464, 9.76642
0.342637, 0.75967, 9.93499, -1.29276, -0.0370608, -0.0740847, 0.363114, 0.724871, 9.76641
0.333656, 0.762814, 9.93604, -1.2927, -0.0370481, -0.0741268, 0.36299, 0.725282, 9.76638
0.36554, 0.748294, 9.91568, -1.29265, -0.0370525, -0.0741111, 0.363033, 0.725126, 9.76639
0.369881, 0.743204, 9.90041, -1.29265, -0.0370525, -0.0741111, 0.363033, 0.725126, 9.76639
0.369881, 0.743204, 9.90041, -1.29253, -0.0370562, -0.0741095, 0.363065, 0.725109, 9.76639
