acceleration:x,y,z,Orientation:yaw,pitch,roll,PredGravityX,PredGravityY,PredGravityZ
0.253872, 0.107626, 9.99756, -0.782374, -0.0179145, -0.0184335, 0.175554, 0.180609, 9.79676
-0.742007, -1.15096, 10.5272, -0.745182, -0.0137742, -0.024953, 0.134983, 0.244489, 9.79602
-4.55682, -0.301772, 8.17794, -0.785088, 0.179007, -0.0433289, -1.74492, 0.417709, 9.63435
0.173938, -0.892444, 9.23175, -0.630989, -0.297744, 0.151441, 2.87497, -1.4134, 9.26158
2.92776, -3.27085, 8.90947, -0.520916, -0.455775, 0.313974, 4.31355, -2.71768, 8.36944
2.92776, -3.27085, 8.90947, -0.520916, -0.455775, 0.313974, 4.31355, -2.71768, 8.36944
2.92776, -3.27085, 8.90947, -0.520916, -0.455775, 0.313974, 4.31355, -2.71768, 8.36944
2.92776, -3.27085, 8.90947, -0.520916, -0.455775, 0.313974, 4.31355, -2.71768, 8.36944
2.92776, -3.27085, 8.90947, -0.441822, -0.528878, 0.4404, 4.94474, -3.60696, 7.65372
3.79311, -4.64978, 8.16672, -0.441822, -0.528878, 0.4404, 4.94474, -3.60696, 7.65372
4.52943, -5.69985, 5.84834, -0.205703, -0.651493, 0.780049, 5.94246, -5.48076, 5.53971
4.52943, -5.69985, 5.84834, -0.205703, -0.651493, 0.780049, 5.94246, -5.48076, 5.53971
4.52943, -5.69985, 5.84834, -0.205703, -0.651493, 0.780049, 5.94246, -5.48076, 5.53971
4.52943, -5.69985, 5.84834, -0.205703, -0.651493, 0.780049, 5.94246, -5.48076, 5.53971
4.98059, -5.18836, 5.17639, -0.0651396, -0.673653, 0.984685, 6.11368, -6.38084, 4.23648
6.17795, -4.24382, 4.36358, 0.065254, -0.669143, 1.18031, 6.07908, -7.10805, 2.92581
6.17795, -4.24382, 4.36358, 0.065254, -0.669143, 1.18031, 6.07908, -7.10805, 2.92581
6.17795, -4.24382, 4.36358, 0.065254, -0.669143, 1.18031, 6.07908, -7.10805, 2.92581
6.17795, -4.24382, 4.36358, 0.065254, -0.669143, 1.18031, 6.07908, -7.10805, 2.92581
6.17795, -4.24382, 4.36358, 0.065254, -0.669143, 1.18031, 6.07908, -7.10805, 2.92581
6.17795, -4.24382, 4.36358, 0.157801, -0.655258, 1.3451, 5.97177, -7.57326, 1.73888
6.61953, -3.78009, 2.76385, 0.23239, -0.640217, 1.48127, 5.85422, -7.8278, 0.702669
6.04982, -3.89325, 0.819546, 0.23239, -0.640217, 1.48127, 5.85422, -7.8278, 0.702669
5.79385, -4.11345, -0.670905, 0.312538, -0.62914, 1.59158, 5.76681, -7.92192, -0.164689
5.79385, -4.11345, -0.670905, 0.312538, -0.62914, 1.59158, 5.76681, -7.92192, -0.164689
5.95686, -4.70786, -1.73923, 0.386047, -0.621661, 1.67753, 5.70738, -7.92121, -0.848652
5.95686, -4.70786, -1.73923, 0.386047, -0.621661, 1.67753, 5.70738, -7.92121, -0.848652
5.95686, -4.70786, -1.73923, 0.386047, -0.621661, 1.67753, 5.70738, -7.92121, -0.848652
5.43295, -6.40578, -2.17468, 0.443854, -0.607177, 1.73896, 5.5914, -7.93483, -1.34708
5.43295, -6.40578, -2.17468, 0.443854, -0.607177, 1.73896, 5.5914, -7.93483, -1.34708
5.43295, -6.40578, -2.17468, 0.443854, -0.607177, 1.73896, 5.5914, -7.93483, -1.34708
5.43295, -6.40578, -2.17468, 0.443854, -0.607177, 1.73896, 5.5914, -7.93483, -1.34708
5.43295, -6.40578, -2.17468, 0.477732, -0.58282, 1.77682, 5.39373, -8.00913, -1.67378
5.30287, -7.37756, -2.77927, 0.477732, -0.58282, 1.77682, 5.39373, -8.00913, -1.67378
6.32031, -7.29897, -3.58519, 0.519558, -0.563891, 1.82059, 5.23789, -8.02572, -2.04752
6.32031, -7.29897, -3.58519, 0.519558, -0.563891, 1.82059, 5.23789, -8.02572, -2.04752
6.32031, -7.29897, -3.58519, 0.519558, -0.563891, 1.82059, 5.23789, -8.02572, -2.04752
6.32031, -7.29897, -3.58519, 0.519558, -0.563891, 1.82059, 5.23789, -8.02572, -2.04752
6.41701, -7.60793, -3.48221, 0.541971, -0.572592, 1.82967, 5.30976, -7.96243, -2.10859
6.16837, -8.0073, -3.9181, 0.562794, -0.579954, 1.83837, 5.37026, -7.90588, -2.16734
6.16837, -8.0073, -3.9181, 0.562794, -0.579954, 1.83837, 5.37026, -7.90588, -2.16734
6.16837, -8.0073, -3.9181, 0.562794, -0.579954, 1.83837, 5.37026, -7.90588, -2.16734
6.16837, -8.0073, -3.9181, 0.562794, -0.579954, 1.83837, 5.37026, -7.90588, -2.16734
