acceleration:x,y,z,Orientation:yaw,pitch,roll,PredGravityX,PredGravityY,PredGravityZ
1.44929, 0.878224, 9.8124, -0.790836, -0.147989, -0.0861702, 1.445, 0.834207, 9.65692
1.44839, 0.867895, 9.81524, -0.796018, -0.14787, -0.0857584, 1.44385, 0.830242, 9.65743
1.4442, 0.861908, 9.82048, -0.796205, -0.14783, -0.0858128, 1.44347, 0.830772, 9.65744
1.45273, 0.842897, 9.78815, -0.796381, -0.147814, -0.085809, 1.44331, 0.83074, 9.65747
1.4689, 0.840352, 9.78366, -0.796476, -0.1478, -0.0858067, 1.44317, 0.830716, 9.65749
1.48012, 0.83661, 9.78306, -0.796568, -0.147832, -0.0857891, 1.44348, 0.830542, 9.65746
1.48012, 0.83661, 9.78306, -0.79657, -0.147863, -0.0857871, 1.44378, 0.830516, 9.65742
1.48162, 0.839454, 9.79803, -0.79657, -0.147884, -0.0857798, 1.44398, 0.830449, 9.65739
1.48177, 0.839903, 9.81808, -0.79657, -0.147884, -0.0857798, 1.44398, 0.830449, 9.65739
1.48177, 0.839903, 9.80581, -0.796603, -0.147935, -0.0857555, 1.44448, 0.830205, 9.65734
1.48177, 0.830772, 9.78605, -0.796603, -0.147935, -0.0857555, 1.44448, 0.830205, 9.65734
1.48177, 0.830772, 9.78605, -0.796603, -0.147935, -0.0857555, 1.44448, 0.830205, 9.65734
1.48177, 0.829575, 9.78336, -0.796444, -0.147964, -0.0857386, 1.44476, 0.830043, 9.65731
1.48177, 0.817899, 9.80117, -0.796287, -0.147986, -0.0857181, 1.44498, 0.829839, 9.6573
1.48177, 0.828078, 9.81524, -0.796378, -0.148011, -0.0856688, 1.44522, 0.829356, 9.6573
1.48177, 0.828078, 9.81524, -0.796731, -0.14803, -0.0856634, 1.4454, 0.829306, 9.65728
1.4668, 0.838407, 9.82048, -0.797083, -0.147986, -0.0856721, 1.44498, 0.829388, 9.65734
1.44674, 0.843197, 9.82452, -0.797083, -0.147986, -0.0856721, 1.44498, 0.829388, 9.65734
1.44674, 0.843197, 9.82452, -0.797083, -0.147986, -0.0856721, 1.44498, 0.829388, 9.65734
1.44674, 0.843197, 9.82452, -0.797335, -0.147946, -0.0856207, 1.44459, 0.828904, 9.65744
1.47668, 0.835562, 9.81793, -0.79759, -0.147954, -0.0856022, 1.44467, 0.828722, 9.65744
1.47668, 0.835562, 9.81793, -0.798137, -0.147974, -0.0855978, 1.44486, 0.828678, 9.65742
1.46605, 0.854423, 9.82078, -0.798137, -0.147974, -0.0855978, 1.44486, 0.828678, 9.65742
1.44659, 0.856669, 9.82123, -0.798695, -0.1479, -0.0856384, 1.44414, 0.829076, 9.65749
1.45902, 0.842298, 9.78815, -0.798695, -0.1479, -0.0856384, 1.44414, 0.829076, 9.65749
1.45902, 0.842298, 9.78815, -0.798695, -0.1479, -0.0856384, 1.44414, 0.829076, 9.65749
1.45902, 0.842298, 9.78815, -0.798781, -0.147932, -0.0856401, 1.44445, 0.829089, 9.65744
1.47877, 0.840352, 9.77452, -0.798866, -0.147946, -0.0856403, 1.44459, 0.829092, 9.65742
1.45722, 0.855022, 9.78186, -0.798866, -0.147946, -0.0856403, 1.44459, 0.829092, 9.65742
1.44539, 0.87508, 9.80701, -0.799034, -0.147912, -0.0857005, 1.44426, 0.829676, 9.65742
1.44539, 0.87508, 9.80701, -0.798919, -0.14789, -0.0857111, 1.44404, 0.829783, 9.65744
1.468, 0.844693, 9.79518, -0.798919, -0.14789, -0.0857111, 1.44404, 0.829783, 9.65744
1.47997, 0.840652, 9.7847, -0.798803, -0.14792, -0.0857103, 1.44433, 0.82977, 9.6574
1.47997, 0.840652, 9.7847, -0.798803, -0.14792, -0.0857103, 1.44433, 0.82977, 9.6574
1.47997, 0.840652, 9.7847, -0.798858, -0.147949, -0.0857401, 1.44461, 0.830054, 9.65733
1.48162, 0.869841, 9.78321, -0.798739, -0.147979, -0.0857859, 1.44491, 0.830491, 9.65725
1.48177, 0.852926, 9.77752, -0.798739, -0.147979, -0.0857859, 1.44491, 0.830491, 9.65725
1.48177, 0.8417, 9.80641, -0.798613, -0.148006, -0.0857826, 1.44517, 0.830459, 9.65722
1.48177, 0.8417, 9.80641, -0.798613, -0.148006, -0.0857826, 1.44517, 0.830459, 9.65722
1.48177, 0.840203, 9.82482, -0.798482, -0.148023, -0.0857741, 1.44533, 0.830372, 9.6572
1.48177, 0.840203, 9.82482, -0.798353, -0.148042, -0.0857671, 1.44551, 0.830307, 9.65718
1.48177, 0.840053, 9.82183, -0.798353, -0.148042, -0.0857671, 1.44551, 0.830307, 9.65718
