acceleration:x,y,z,Orientation:yaw,pitch,roll,PredGravityX,PredGravityY,PredGravityZ
-1.31876, -4.83674, 5.39628, -0.601054, -0.308101, 0.900531, 2.97185, -7.3182, 5.80104
3.05754, -6.1082, 1.96257, -0.263747, -0.461923, 1.71664, 4.36757, -8.67979, -1.27496
3.9672, -4.82746, 1.35483, -0.263747, -0.461923, 1.71664, 4.36757, -8.67979, -1.27496
3.9672, -4.82746, 1.35483, -0.206035, -0.45772, 1.79145, 4.33065, -8.57806, -1.92414
5.14076, -4.33184, 0.252974, -0.157918, -0.449663, 1.83992, 4.25968, -8.50812, -2.3467
5.39792, -4.94182, -1.62951, -0.157918, -0.449663, 1.83992, 4.25968, -8.50812, -2.3467
5.39792, -4.94182, -1.62951, -0.157918, -0.449663, 1.83992, 4.25968, -8.50812, -2.3467
5.39792, -4.94182, -1.62951, -0.103337, -0.444415, 1.90737, 4.21331, -8.35159, -2.92215
4.73705, -5.42427, -3.35123, -0.0417682, -0.430926, 1.97416, 4.09358, -8.18948, -3.495
5.17728, -5.78113, -4.36941, -0.0417682, -0.430926, 1.97416, 4.09358, -8.18948, -3.495
5.17728, -5.78113, -4.36941, 0.0131851, -0.409762, 2.02427, 3.90423, -8.08024, -3.93786
6.52628, -6.05221, -4.68645, 0.0131851, -0.409762, 2.02427, 3.90423, -8.08024, -3.93786
6.50263, -6.04263, -4.67238, 0.0504871, -0.388476, 2.03956, 3.71203, -8.09139, -4.09758
6.50263, -6.04263, -4.67238, 0.0504871, -0.388476, 2.03956, 3.71203, -8.09139, -4.09758
6.50263, -6.04263, -4.67238, 0.0713035, -0.372336, 2.03581, 3.56517, -8.15919, -4.09356
5.90148, -6.78255, -4.95036, 0.0713035, -0.372336, 2.03581, 3.56517, -8.15919, -4.09356
5.90148, -6.78255, -4.95036, 0.086025, -0.368532, 2.01832, 3.53042, -8.2417, -3.95608
5.75179, -7.86929, -5.35811, 0.086025, -0.368532, 2.01832, 3.53042, -8.2417, -3.95608
5.75179, -7.86929, -5.35811, 0.0956157, -0.372244, 1.99854, 3.56432, -8.30637, -3.78679
5.45555, -8.47073, -5.4596, 0.0956157, -0.372244, 1.99854, 3.56432, -8.30637, -3.78679
5.45555, -8.47073, -5.4596, 0.0956157, -0.372244, 1.99854, 3.56432, -8.30637, -3.78679
5.45555, -8.47073, -5.4596, 0.109502, -0.375086, 1.98055, 3.59026, -8.36382, -3.63271
5.0511, -8.56489, -5.37712, 0.121131, -0.378191, 1.95825, 3.61856, -8.43238, -3.44108
4.82686, -8.3914, -4.88225, 0.121131, -0.378191, 1.95825, 3.61856, -8.43238, -3.44108
4.82686, -8.3914, -4.88225, 0.121131, -0.378191, 1.95825, 3.61856, -8.43238, -3.44108
4.68211, -8.22644, -4.33948, 0.126294, -0.388393, 1.92445, 3.71128, -8.50877, -3.14122
4.68211, -8.22644, -4.33948, 0.129231, -0.406644, 1.87732, 3.87619, -8.58129, -2.716
4.28035, -7.96943, -3.84371, 0.129231, -0.406644, 1.87732, 3.87619, -8.58129, -2.716
4.28035, -7.96943, -3.84371, 0.129231, -0.406644, 1.87732, 3.87619, -8.58129, -2.716
4.28035, -7.96943, -3.84371, 0.129231, -0.406644, 1.87732, 3.87619, -8.58129, -2.716
4.28035, -7.96943, -3.84371, 0.120235, -0.430118, 1.81294, 4.08638, -8.64753, -2.13581
3.83488, -7.60059, -3.09362, 0.10308, -0.448176, 1.72646, 4.24656, -8.72535, -1.36933
4.01031, -7.4295, -2.18261, 0.10308, -0.448176, 1.72646, 4.24656, -8.72535, -1.36933
4.01031, -7.4295, -2.18261, 0.10308, -0.448176, 1.72646, 4.24656, -8.72535, -1.36933
4.27197, -7.91344, -1.67217, 0.0753907, -0.452659, 1.63372, 4.28611, -8.79557, -0.554207
4.27197, -7.91344, -1.67217, 0.0474274, -0.445035, 1.55344, 4.2188, -8.8441, 0.153494
4.1133, -8.4643, -1.04348, 0.0474274, -0.445035, 1.55344, 4.2188, -8.8441, 0.153494
4.1133, -8.4643, -1.04348, 0.0474274, -0.445035, 1.55344, 4.2188, -8.8441, 0.153494
4.1133, -8.4643, -1.04348, 0.0132078, -0.426181, 1.47341, 4.05128, -8.88112, 0.867645
3.98606, -8.99959, 0.526904, -0.036446, -0.400979, 1.37906, 3.82513, -8.85732, 1.71937
4.28679, -10.0139, 3.12909, -0.036446, -0.400979, 1.37906, 3.82513, -8.85732, 1.71937
4.28679, -10.0139, 3.12909, -0.10861, -0.377352, 1.26071, 3.61091, -8.67601, 2.77997
5.05499, -11.0904, 6.43407, -0.188487, -0.348691, 1.1149, 3.34834, -8.26959, 4.05493
5.70524, -11.8007, 9.84248, -0.188487, -0.348691, 1.1149, 3.34834, -8.26959, 4.05493
5.70524, -11.8007, 9.84248, -0.257576, -0.317265, 0.949367, 3.05729, -7.5702, 5.42079
5.75314, -12.4183, 12.8716, -0.257576, -0.317265, 0.949367, 3.05729, -7.5702, 5.42079
5.75314, -12.4183, 12.8716, -0.309114, -0.292662, 0.781865, 2.82732, -6.61151, 6.6584
6.0591, -12.6713, 15.3789, -0.309114, -0.292662, 0.781865, 2.82732, -6.61151, 6.6584
6.0591, -12.6713, 15.3789, -0.309114, -0.292662, 0.781865, 2.82732, -6.61151, 6.6584
6.0591, -12.6713, 15.3789, -0.309114, -0.292662, 0.781865, 2.82732, -6.61151, 6.6584
6.0591, -12.6713, 15.3789, -0.344073, -0.280269, 0.632443, 2.71082, -5.56691, 7.59611
6.54828, -12.5289, 16.9317, -0.344073, -0.280269, 0.632443, 2.71082, -5.56691, 7.59611
6.23498, -12.3076, 17.2323, -0.361059, -0.283973, 0.508038, 2.74568, -4.57642, 8.21934
6.23498, -12.3076, 17.2323, -0.361059, -0.283973, 0.508038, 2.74568, -4.57642, 8.21934
